@relation 'weatherData-weka.filters.unsupervised.attribute.Remove-R1-2,6-7'

@attribute temperature numeric
@attribute pressure numeric
@attribute humidity numeric

@data
12.7,757.7,72
15.6,757,56
16.2,756.2,56
16.1,755.2,59
13.9,753.9,68
13.2,752.3,88
13.6,751.1,91
13.6,750.4,85
14.4,750.4,79
15.9,750,73
17.4,749.7,?
16.8,749.5,69
17.6,748.4,62
16.6,748.5,78
13.8,748.8,96
14,749.3,93
15,750.1,88
15.9,750.8,89
16.3,751.1,82
19.3,751.7,49
18.3,752.8,49
15.9,753.4,61
13.7,753.4,89
14.5,752.6,91
15.9,752,88
16.9,750.9,84
18.1,752.6,62
17.9,754.6,61
18.6,755.5,55
15.7,756.2,59
11.9,756.8,88
12.3,756.5,83
12.9,756.4,79
12.5,756.1,88
13,755.4,91
15,754.1,80
14.6,754.2,78
13.9,754.4,84
14.2,754.8,93
13.5,755,94
15.6,755.8,91
14.9,757.4,91
17.2,758.3,52
22.2,760,?
21.7,761.6,33
18.6,763.1,47
13.3,764,63
13.5,764.5,57
15.8,764.6,45
19.4,764.2,36
21.8,764,30
21,764.4,29
20.5,764.9,29
18.4,765.1,44
12.8,764.8,91
11.6,764.2,94
14,763.7,73
16.5,763.3,54
18.3,763,38
18.1,763.1,44
16.6,763,49
15.1,762.8,62
13.2,762.1,71
12.4,761.2,89
13.1,761,73
15.4,760.6,57
17,760.6,50
15.7,760.5,60
13.2,759.9,67
13.5,759,66
13.8,758.3,70
13.7,758.2,76
14.1,757.6,82
15.2,756.2,93
19.5,755.6,69
20.3,756.4,54
17.5,758,55
15.8,759.8,68
13,760.7,81
13.5,761.6,74
14.5,761.6,73
16.9,761.3,63
18.3,761.5,56
18.6,761.2,57
15.6,760.4,73
13.5,758.9,76
13,757.2,86
13,755.5,91
14.5,755.1,73
18.6,756,45
20.6,755.6,68
16.7,756.9,90
18.7,759,69
17.1,760.1,75
16,760.6,82
16.6,760.5,85
18.1,760.7,82
20.4,760.7,61
21.7,760.1,55
20.6,761,65
19.3,761.1,70
16.6,761,89
15.4,761,85
15.6,760.8,84
15.6,761.6,85
21.2,761.2,40
23.1,760.9,40
25.1,761.1,38
24.9,761.9,37
22.3,762.3,44
15.7,762.3,83
14.8,762.4,86
15.7,761.8,77
19.9,760.9,53
22.3,760.3,39
22.1,760.1,38
21.1,759.4,37
17.3,758.1,66
14.2,757.4,84
13.3,756.8,85
13.9,756.1,79
18.9,755.2,59
19.4,755,58
19.9,754.8,57
18.9,754.4,66
16.2,753.4,73
13.4,752.2,87
13.8,751.5,88
14.4,750.6,82
14.2,749.2,91
13.9,748.5,97
13.8,747.7,91
16.5,746.5,91
16,746.2,91
15,746.7,96
14.7,747.7,93
14.6,749.2,92
16.5,750.8,68
19.8,752.9,44
21.2,754.7,33
19.9,755.8,41
16.2,757,60
12.6,757.4,82
13,757.5,80
14.5,757.2,74
19.1,755.9,49
19.3,756.3,52
19.9,756.8,49
16.3,757.2,58
13.2,756.8,73
11.5,756.6,79
13.2,756.2,79
16.4,755.3,66
19.7,755.1,43
18.9,755.8,42
17.6,756.4,46
19.9,755.8,41
16.1,755.7,68
13,755.6,84
12.2,755.2,88
13.2,755.1,80
15.6,755,74
18.5,755,46
17.1,754.8,60
15.6,755,68
13.9,755.6,65
10.6,756,90
9.8,755.7,95
10.5,756,92
13.2,756.1,80
16.3,756.4,50
16,756.5,59
13.9,756.9,70
11.1,756.7,81
11.1,756.2,79
10.1,756,92
11.3,755.9,83
13.4,755.9,67
16.7,755.9,50
15.8,756.8,54
16.9,756.9,48
13.1,757.3,64
12.1,757.2,84
10.8,757.4,82
11.4,757.7,77
15.6,757.4,40
16.7,757.6,36
17,757.5,37
15.2,756.7,47
12.5,755.9,60
10,755.3,74
9,755.2,72
11.3,754.8,56
13,754.6,45
15,754.2,36
14.6,754,39
14.9,753.4,37
11.9,753.4,72
9.1,753.2,84
9.2,753.4,79
9.8,753.7,68
12.2,753.3,55
12.7,753.4,57
12,752.8,59
12,752.2,60
9.2,751.6,73
7.8,751.1,87
